,summary,Winter,Energie,Krieg,Krise,word
hof… +3715,2.1334286357640475,0.014579078039155214,-0.07295920261468672,-0.2799307644784425,0.521772526814112,hof… +3715
+3715 chars,2.1285898069833946,0.016849753741160586,-0.07068852691268111,-0.27766008877643683,0.5170952386750495,+3715 chars
russland mobilmachung,3.3476813603081026,-0.43595852319899026,-0.5234968038528319,0.3355561632443366,-0.5231651549142963,russland mobilmachung
mobilmachung ukraine-krieg,3.9405911301402994,-0.5990212933332865,-0.6865595739871281,0.3992299654411016,-0.6862279250485924,mobilmachung ukraine-krieg
ukraine-krieg abschließ,3.149568351609772,-0.3749559604596517,-0.4624942411134936,0.30768640194226293,-0.46216259217495775,ukraine-krieg abschließ
abschließ der,2.8871433582479473,-0.28795810417129764,-0.3754963848251395,0.2633083695405939,-0.3751647358866038,abschließ der
kreml beend,2.818565330454906,-0.2639185556749205,-0.3514568363287623,0.24996896724713902,-0.35112518739022663,kreml beend
beend mobilmachung,3.3476813603081026,-0.43595852319899026,-0.5234968038528319,0.3355561632443366,-0.5231651549142963,beend mobilmachung
mobilmachung offiziell,2.69408206575188,-0.21874808818812155,-0.3062863688419635,0.22349890681806409,-0.3059547199034277,mobilmachung offiziell
offiziell angabe,2.667722843175262,-0.20891578903568034,-0.2964540696895221,0.21747981578952716,-0.29612242075098644,offiziell angabe
Einberufungsstellen,3.3019748695079136,-0.4222112830276214,-0.5097495636814633,0.32948943797297237,-0.5094179147429274,Einberufungsstellen
angabe einberufungsstelle,2.6409672499400205,-0.19883578085630524,-0.28637406151014705,0.21120892288154083,-0.2860424125716112,angabe einberufungsstelle
einberufungsstelle offen,2.6245974127793272,-0.1926180659682179,-0.2801563466220597,0.2072892442811064,-0.27982469768352397,einberufungsstelle offen
offen halt,2.624101479441629,-0.19242909214847403,-0.27996737280231576,0.20716949050378405,-0.27963572386378016,offen halt
verteidigungsminister bereits,2.7157061339521706,-0.22674255398632334,-0.3142808346401652,0.22832326185146617,-0.3139491857016294,verteidigungsminister bereits
82.000,2.760151928403866,-0.24297627298393484,-0.3305145536377765,0.23793219047907788,-0.33018290469924094,82.000
bereits 82.000,2.760151928403866,-0.24297627298393484,-0.3305145536377765,0.23793219047907788,-0.33018290469924094,bereits 82.000
82.000 reservist,2.817575207003309,-0.26356720763623975,-0.3511054882900816,0.24977027700610768,-0.35077383935154577,82.000 reservist
reservist krieg,3.105365837601796,-0.3608220787856809,-0.44836035943952285,0.30086545338091814,-0.4480287105009871,reservist krieg
wies,3.9482666099752164,-0.600967197926761,-0.6885054785806027,0.3999068508250408,-0.688173829642067,wies
putin weis,3.137317759320472,-0.3710587663389286,-0.4585970469927705,0.30581987573042657,-0.4582653980542347,putin weis
weis angesichts,2.969902951164761,-0.3162198241519631,-0.4037581048058049,0.2783705333130305,-0.4034264558672691,weis angesichts
Schwierigkeiten,2.7431135304051857,-0.236784148483573,-0.3243224291374149,0.23429625258112186,-0.32399078019887917,Schwierigkeiten
angesichts schwierigkeit,2.7431135304051857,-0.236784148483573,-0.3243224291374149,0.23429625258112186,-0.32399078019887917,angesichts schwierigkeit
schwierigkeit arbeit,2.573017716262609,-0.17276996697254943,-0.2603082476263912,0.1945063452049146,-0.25997659868785555,schwierigkeit arbeit
arbeit einberufungsstelle,2.535619987204399,-0.15812872627661187,-0.24566700693045365,0.1848044157956848,-0.24533535799191794,arbeit einberufungsstelle
modernisiert,2.4837114596768672,-0.13744454602055428,-0.22498282667439617,0.17068672433977264,-0.2246511777358604,modernisiert
einberufungsstelle modernisier,2.4837114596768672,-0.13744454602055428,-0.22498282667439617,0.17068672433977264,-0.2246511777358604,einberufungsstelle modernisier
modernisier müss,2.4444781259417816,-0.12152220296827548,-0.2090604836221173,0.15947740547333136,-0.20872883468358153,modernisier müss
